# 슬라이드 이미지 출처·라이선스
# 초기 세션에서 수집한 일부는 출처가 (미기록). 재사용·배포 전 확인 필요.
file	week	size	bytes	license	author	source
w06-01-035.webp	6	760x1200	106KB	CC BY-SA 3.0	타셀 호텔, 브뤼셀, 빅토르 오르타 설계	(슬라이드 캡션 기준)
w06-01-036.webp	6	424x1200	133KB	Public Domain	알폰스 무하, 「지스몽다」, 1894	(슬라이드 캡션 기준)
w06-01-037.webp	6	1000x667	75KB	CC BY 4.0	프랭크 로이드 라이트, 로비 하우스, 시카고 (1909)	(슬라이드 캡션 기준)
w06-01-038.webp	6	1000x800	96KB	Public Domain	라킨 관청 건물, 버팔로 (1904)	(슬라이드 캡션 기준)
w07-01-039.webp	7	861x1200	165KB	Public Domain	아돌프 로스	(슬라이드 캡션 기준)
w07-01-040.webp	7	1000x734	127KB	CC BY-SA 3.0	AEG 터빈 공장, 베를린, 1909	(슬라이드 캡션 기준)
w09-01-041.webp	9	1000x722	102KB	Public Domain	포드 이동식 조립라인, 1913	(슬라이드 캡션 기준)
w09-01-042.webp	9	1000x750	228KB	Public Domain	포드 모델 T 투어링, 1925	(슬라이드 캡션 기준)
w10-01-043.webp	10	867x1200	44KB	CC0	적청 의자, 헤리트 리트벨트, 1918	(슬라이드 캡션 기준)
w10-01-044.webp	10	1000x625	124KB	Free Art License	바우하우스 데사우 교사, 그로피우스 설계, 1925–26	(슬라이드 캡션 기준)
w11-01-045.webp	11	799x1200	165KB	Public Domain	엠파이어스테이트빌딩	(슬라이드 캡션 기준)
w11-01-046.webp	11	900x1200	96KB	CC BY-SA 3.0	크라이슬러 빌딩, 뉴욕, 1930	(슬라이드 캡션 기준)
w12-01-047.webp	12	911x1200	27KB	CC0	LCW 체어, 찰스·레이 임스, 1945	(슬라이드 캡션 기준)
w12-01-048.webp	12	1000x936	42KB	CC BY-SA 4.0	브라운 포노주퍼 SK4, 1956	(슬라이드 캡션 기준)
w12-02-049.webp	12	938x1200	23KB	CC BY-SA 4.0	에그 체어, 아르네 야콥센, 1958	(슬라이드 캡션 기준)
w13-01-050.webp	13	765x1200	75KB	CC0	서울 스카이라인, 2018	(슬라이드 캡션 기준)
w14-01-051.webp	14	1000x922	75KB	CC BY 3.0	애플 매킨토시 128K, 1984	(슬라이드 캡션 기준)
w04-remington.webp	4	1200x1413	82KB	CC0	Daderot	File:Remington No. 1 typewriter, made by Remington & Songs, Ilion, NY, 1873-1878, the first Sholes & Glidden model typewriter made by Remington - Wisconsin Historical Museum - DSC02806.JPG
w04-singer.webp	4	1000x598	149KB	CC BY 2.0	Boston Public Library	File:Singer sewing machines (front) (8902408971).jpg
w04-columbia.webp	4	1200x900	79KB	CC BY-SA 4.0	Marine 69-71	File:Prescott-Sharlot Hall Museum-Transportation Building-1937-Columbia Ordinary Bicycle-1886.jpg
